.\revolver\image_0001.jpg 2 0 0 1 1 1 1 295 148
.\revolver\image_0002.jpg 1 11 16 281 133
.\revolver\image_0003.jpg 1 5 3 293 173
.\revolver\image_0004.jpg 1 30 57 267 141
.\revolver\image_0005.jpg 1 28 34 263 156
.\revolver\image_0006.jpg 1 5 2 280 127
.\revolver\image_0007.jpg 1 8 47 285 157
.\revolver\image_0008.jpg 1 1 75 227 157
.\revolver\image_0009.jpg 1 49 47 239 153
.\revolver\image_0010.jpg 1 44 50 246 150
.\revolver\image_0011.jpg 1 44 40 254 155
.\revolver\image_0012.jpg 1 20 44 257 106
.\revolver\image_0013.jpg 1 11 26 286 201
.\revolver\image_0014.jpg 1 7 16 285 178
.\revolver\image_0015.jpg 1 8 5 282 155
.\revolver\image_0016.jpg 1 45 11 216 115
.\revolver\image_0017.jpg 1 5 0 283 169
.\revolver\image_0018.jpg 1 5 7 289 177
.\revolver\image_0019.jpg 1 8 8 281 184
.\revolver\image_0020.jpg 1 6 12 286 122
.\revolver\image_0021.jpg 1 11 6 265 181
.\revolver\image_0022.jpg 1 9 7 287 149
.\revolver\image_0023.jpg 1 6 8 292 190
.\revolver\image_0024.jpg 1 59 31 170 100
.\revolver\image_0025.jpg 1 11 9 282 143
.\revolver\image_0026.jpg 1 22 34 264 139
.\revolver\image_0027.jpg 1 13 10 281 129
.\revolver\image_0028.jpg 1 2 34 282 156
.\revolver\image_0029.jpg 1 7 27 289 161
.\revolver\image_0030.jpg 1 14 16 272 147
.\revolver\image_0031.jpg 1 10 10 287 206
.\revolver\image_0032.jpg 1 28 65 212 113
.\revolver\image_0033.jpg 1 13 8 273 141
.\revolver\image_0034.jpg 1 7 9 285 161
.\revolver\image_0035.jpg 1 43 16 219 90
.\revolver\image_0036.jpg 1 9 10 276 175
.\revolver\image_0037.jpg 1 7 8 287 154
.\revolver\image_0038.jpg 1 18 35 267 104
.\revolver\image_0039.jpg 1 22 38 255 140
.\revolver\image_0040.jpg 1 10 16 279 165
.\revolver\image_0041.jpg 1 80 52 133 67
.\revolver\image_0042.jpg 1 7 64 290 130
.\revolver\image_0043.jpg 1 39 46 227 115
.\revolver\image_0044.jpg 1 9 14 277 128
.\revolver\image_0045.jpg 1 43 44 223 110
.\revolver\image_0046.jpg 1 22 52 261 103
.\revolver\image_0047.jpg 1 22 18 243 156
.\revolver\image_0048.jpg 1 20 14 270 140
.\revolver\image_0049.jpg 1 5 28 288 117
.\revolver\image_0050.jpg 1 5 12 291 130
.\revolver\image_0051.jpg 1 14 76 275 158
.\revolver\image_0052.jpg 1 7 6 187 89
.\revolver\image_0053.jpg 1 28 14 248 165
.\revolver\image_0054.jpg 1 22 26 247 133
.\revolver\image_0055.jpg 1 10 18 276 138
.\revolver\image_0056.jpg 1 9 17 282 137
.\revolver\image_0057.jpg 1 12 26 279 192
.\revolver\image_0058.jpg 1 12 103 282 119
.\revolver\image_0059.jpg 1 9 101 286 109
.\revolver\image_0060.jpg 1 13 16 271 158
.\revolver\image_0061.jpg 1 26 24 271 181
.\revolver\image_0062.jpg 1 8 6 287 127
.\revolver\image_0063.jpg 1 17 10 268 132
.\revolver\image_0064.jpg 1 7 18 287 170
.\revolver\image_0065.jpg 1 12 10 284 144
.\revolver\image_0066.jpg 1 15 77 275 130
.\revolver\image_0067.jpg 1 13 44 266 165
.\revolver\image_0068.jpg 1 5 4 293 165
.\revolver\image_0069.jpg 1 8 12 286 127
.\revolver\image_0070.jpg 1 18 28 269 122
.\revolver\image_0071.jpg 1 12 31 273 149
.\revolver\image_0072.jpg 1 9 10 288 140
.\revolver\image_0073.jpg 1 13 40 276 156
.\revolver\image_0074.jpg 1 41 64 172 102
.\revolver\image_0075.jpg 1 22 22 260 160
.\revolver\image_0076.jpg 1 7 104 181 117
.\revolver\image_0077.jpg 1 17 10 253 155
.\revolver\image_0078.jpg 1 13 11 275 148
.\revolver\image_0079.jpg 1 11 17 286 185
.\revolver\image_0080.jpg 1 10 30 270 164
.\revolver\image_0081.jpg 1 12 3 280 162
.\revolver\image_0082.jpg 1 25 20 266 113
